fid,gbifID,occurrenceID,order,family,genus,species
1089,4200388207,URN:catalog:CLO:EBIRD:OBS1470005510,Apodiformes,Apodidae,Collocalia,Collocalia marginata
1090,4744554052,URN:catalog:CLO:EBIRD:OBS1737370497,Psittaciformes,Psittacidae,Cacatua,Cacatua alba
1092,3640928957,URN:catalog:CLO:EBIRD:OBS1241367927,Passeriformes,Rhipiduridae,Rhipidura,Rhipidura nigritorquis
1094,5549480552,URN:catalog:CLO:EBIRD:OBS1949798051,Apodiformes,Apodidae,Collocalia,Collocalia marginata
1095,3170822811,URN:catalog:CLO:EBIRD:OBS920391202,Passeriformes,Passeridae,Passer,Passer montanus
1096,3654307750,URN:catalog:CLO:EBIRD:OBS1267078235,Passeriformes,Passeridae,Passer,Passer montanus
1097,3605963675,URN:catalog:CLO:EBIRD:OBS1196985282,Passeriformes,Passeridae,Passer,Passer montanus
1098,4800452211,URN:catalog:CLO:EBIRD:OBS1833420639,Passeriformes,Pycnonotidae,Pycnonotus,Pycnonotus goiavier
1099,4353867799,URN:catalog:CLO:EBIRD:OBS1339262651,Passeriformes,Laniidae,Lanius,Lanius cristatus
1100,3282722656,URN:catalog:CLO:EBIRD:OBS996913138,Passeriformes,Nectariniidae,Cinnyris,Cinnyris jugularis
1101,3250340618,URN:catalog:CLO:EBIRD:OBS915635963,Passeriformes,Pycnonotidae,Pycnonotus,Pycnonotus goiavier
1103,4703659261,URN:catalog:CLO:EBIRD:OBS1630537586,Passeriformes,Oriolidae,Oriolus,Oriolus chinensis
1104,4711435989,URN:catalog:CLO:EBIRD:OBS1639025168,Pelecaniformes,Ardeidae,Botaurus,
1105,3153873690,URN:catalog:CLO:EBIRD:OBS915653650,Passeriformes,Passeridae,Passer,Passer montanus
1107,3508198308,URN:catalog:CLO:EBIRD:OBS1049205641,Passeriformes,Passeridae,Passer,Passer montanus
1108,3507981213,URN:catalog:CLO:EBIRD:OBS1077294261,Falconiformes,Falconidae,Falco,Falco peregrinus
1109,3670787492,URN:catalog:CLO:EBIRD:OBS1119956126,Psittaciformes,Psittacidae,Loriculus,Loriculus philippensis
1111,5640221106,URN:catalog:CLO:EBIRD:OBS1952214168,Passeriformes,Pycnonotidae,Pycnonotus,Pycnonotus goiavier
1112,3565854409,URN:catalog:CLO:EBIRD:OBS1215786355,Apodiformes,Apodidae,Collocalia,Collocalia troglodytes
1113,4368209164,URN:catalog:CLO:EBIRD:OBS1385753888,Passeriformes,Artamidae,Artamus,Artamus leucorhynchos
1114,4650736322,URN:catalog:CLO:EBIRD:OBS1780341741,Passeriformes,Sturnidae,Aplonis,Aplonis panayensis
1115,4208079883,URN:catalog:CLO:EBIRD:OBS1429755152,Passeriformes,Paridae,Periparus,Periparus elegans
1116,3560284847,URN:catalog:CLO:EBIRD:OBS1266508547,Passeriformes,Motacillidae,Motacilla,Motacilla cinerea
1117,4831873832,URN:catalog:CLO:EBIRD:OBS1726712611,Passeriformes,Sturnidae,Aplonis,Aplonis panayensis
1118,4792428135,URN:catalog:CLO:EBIRD:OBS1814720159,Passeriformes,Sturnidae,Aplonis,Aplonis panayensis
1119,4826242370,URN:catalog:CLO:EBIRD:OBS1737370503,Passeriformes,Acanthizidae,Gerygone,Gerygone sulphurea
1120,3522909762,URN:catalog:CLO:EBIRD:OBS1049205645,Psittaciformes,Psittacidae,Loriculus,Loriculus philippensis
1121,3651112289,URN:catalog:CLO:EBIRD:OBS1219817903,Columbiformes,Columbidae,Columba,Columba livia
1122,3595840614,URN:catalog:CLO:EBIRD:OBS1111341792,Passeriformes,Oriolidae,Oriolus,Oriolus chinensis
1123,4190402531,URN:catalog:CLO:EBIRD:OBS1323152449,Passeriformes,Dicaeidae,Dicaeum,Dicaeum australe
1124,3672975976,URN:catalog:CLO:EBIRD:OBS1121876297,Passeriformes,Rhipiduridae,Rhipidura,Rhipidura nigritorquis
1125,4190603018,URN:catalog:CLO:EBIRD:OBS1331009390,Passeriformes,Laniidae,Lanius,Lanius cristatus
1126,3674771225,URN:catalog:CLO:EBIRD:OBS1102780584,Passeriformes,Laniidae,Lanius,Lanius cristatus
1127,3624722660,URN:catalog:CLO:EBIRD:OBS1116026405,Passeriformes,Nectariniidae,Cinnyris,Cinnyris jugularis
1128,4786511281,URN:catalog:CLO:EBIRD:OBS1737370502,Passeriformes,Campephagidae,Lalage,Lalage nigra
1129,5513443396,URN:catalog:CLO:EBIRD:OBS2540247947,Passeriformes,Pycnonotidae,Pycnonotus,Pycnonotus goiavier
1130,3175537768,URN:catalog:CLO:EBIRD:OBS934973640,Passeriformes,Acanthizidae,Gerygone,Gerygone sulphurea
1131,4842704008,URN:catalog:CLO:EBIRD:OBS1726712719,Psittaciformes,Psittacidae,Loriculus,Loriculus philippensis
1132,3516382494,URN:catalog:CLO:EBIRD:OBS1080841862,Passeriformes,Passeridae,Passer,Passer montanus
1133,3507124259,URN:catalog:CLO:EBIRD:OBS1084314127,Passeriformes,Campephagidae,Lalage,Lalage nigra
1135,4382602762,URN:catalog:CLO:EBIRD:OBS1518646413,Passeriformes,Passeridae,Passer,Passer montanus
1136,3529903295,URN:catalog:CLO:EBIRD:OBS1054332209,Piciformes,Megalaimidae,Psilopogon,Psilopogon haemacephalus
1137,3240678716,URN:catalog:CLO:EBIRD:OBS915635964,Piciformes,Megalaimidae,Psilopogon,Psilopogon haemacephalus
1138,3507905546,URN:catalog:CLO:EBIRD:OBS1083433228,Passeriformes,Laniidae,Lanius,Lanius cristatus
1140,3582764982,URN:catalog:CLO:EBIRD:OBS1237382201,Columbiformes,Columbidae,Columba,Columba livia
1141,4845596298,URN:catalog:CLO:EBIRD:OBS1956762785,Piciformes,Picidae,Yungipicus,Yungipicus maculatus
1142,3602804873,URN:catalog:CLO:EBIRD:OBS1119129884,Passeriformes,Pycnonotidae,Pycnonotus,Pycnonotus goiavier
1144,3236801107,URN:catalog:CLO:EBIRD:OBS922352523,Passeriformes,Sturnidae,Aplonis,Aplonis panayensis
1145,3589102685,URN:catalog:CLO:EBIRD:OBS1099637911,Coraciiformes,Alcedinidae,Todiramphus,Todiramphus chloris
1146,3510537406,URN:catalog:CLO:EBIRD:OBS1111348376,Passeriformes,Laniidae,Lanius,Lanius cristatus
1147,5520148704,URN:catalog:CLO:EBIRD:OBS2019954477,Passeriformes,Rhipiduridae,Rhipidura,Rhipidura nigritorquis
1148,4843020281,URN:catalog:CLO:EBIRD:OBS1737370496,Pelecaniformes,Ardeidae,Butorides,Butorides striata
1149,4637762940,URN:catalog:CLO:EBIRD:OBS1726709401,Passeriformes,Pycnonotidae,Pycnonotus,Pycnonotus goiavier
1150,4613181753,URN:catalog:CLO:EBIRD:OBS1721901516,Passeriformes,Acanthizidae,Gerygone,Gerygone sulphurea
1151,3234826504,URN:catalog:CLO:EBIRD:OBS848445253,Pelecaniformes,Ardeidae,Egretta,Egretta garzetta
1152,4735233638,URN:catalog:CLO:EBIRD:OBS1882362485,Apodiformes,Apodidae,Collocalia,Collocalia marginata
1153,3544554143,URN:catalog:CLO:EBIRD:OBS1114411732,Passeriformes,Passeridae,Passer,Passer montanus
1154,5488581892,URN:catalog:CLO:EBIRD:OBS2717693447,Passeriformes,Rhipiduridae,Rhipidura,Rhipidura nigritorquis
1155,4377756129,URN:catalog:CLO:EBIRD:OBS1588668476,Apodiformes,Apodidae,Collocalia,Collocalia marginata
1156,3296878860,URN:catalog:CLO:EBIRD:OBS1000064008,Passeriformes,Oriolidae,Oriolus,Oriolus chinensis
1157,3562471315,URN:catalog:CLO:EBIRD:OBS1215786354,Passeriformes,Pycnonotidae,Pycnonotus,Pycnonotus goiavier
1158,4202928851,URN:catalog:CLO:EBIRD:OBS1329314378,Columbiformes,Columbidae,Geopelia,Geopelia striata
1159,4355342456,URN:catalog:CLO:EBIRD:OBS1389046821,Passeriformes,Zosteropidae,Zosterops,Zosterops meyeni
1160,3583130582,URN:catalog:CLO:EBIRD:OBS1246521933,Passeriformes,Zosteropidae,Zosterops,Zosterops meyeni
1161,3634679059,URN:catalog:CLO:EBIRD:OBS1241367930,Columbiformes,Columbidae,Columba,Columba livia
1162,3233332556,URN:catalog:CLO:EBIRD:OBS915640001,Passeriformes,Passeridae,Passer,Passer montanus
1163,3574840561,URN:catalog:CLO:EBIRD:OBS1246521932,Passeriformes,Corvidae,Corvus,
1164,3572106253,URN:catalog:CLO:EBIRD:OBS1237382191,Passeriformes,Laniidae,Lanius,Lanius cristatus
1165,3173695669,URN:catalog:CLO:EBIRD:OBS920391201,Passeriformes,Sturnidae,Aplonis,Aplonis panayensis
1166,3618682033,URN:catalog:CLO:EBIRD:OBS1119129879,Passeriformes,Rhipiduridae,Rhipidura,Rhipidura nigritorquis
1167,4364775020,URN:catalog:CLO:EBIRD:OBS1587340811,Passeriformes,Pycnonotidae,Pycnonotus,Pycnonotus goiavier
1168,4708278326,URN:catalog:CLO:EBIRD:OBS1639025164,Passeriformes,Rhipiduridae,Rhipidura,Rhipidura nigritorquis
1169,4689086399,URN:catalog:CLO:EBIRD:OBS1726709405,Columbiformes,Columbidae,Columba,Columba livia
1170,4199281001,URN:catalog:CLO:EBIRD:OBS1429755147,Columbiformes,Columbidae,Geopelia,Geopelia striata
1171,3553303631,URN:catalog:CLO:EBIRD:OBS1192337461,Passeriformes,Sturnidae,Aplonis,Aplonis panayensis
